e_t,e,e_d,s_t,s,s_d
221,2769,-1,221,2769,-1.94495
222,2768,-1,222,2768,-1.94425
223,2767,-1,223,2767,-1.94355
224,2766,-1,224,2766,-1.94285
225,2765,-1,225,2765,-1.94215
226,2764,-1,226,2764,-1.94145
227,2763,-1,227,2763,-1.94075
228,2762,-1,228,2762,-1.94005
229,2761,-1,229,2761,-1.93935
230,2760,-1,230,2760,-1.93865
231,2759,-1,231,2759,-1.93795
232,2758,-1,232,2758,-1.93725
233,2757,-1,233,2757,-1.93655
234,2756,-1,234,2756,-1.93585
235,2755,-1,235,2755,-1.93515
236,2754,-1,236,2754,-1.93445
237,2753,-1,237,2753,-1.93375
238,2752,-1,238,2752,-1.93305
239,2751,-1,239,2751,-1.93235
240,2750,-1,240,2750,-1.93165
241,2749,-1,241,2749,-1.93095
242,2748,-1,242,2748,-1.93025
243,2747,-1,243,2747,-1.92955
244,2746,-1,244,2746,-1.92885
245,2745,-1,245,2745,-1.92815
246,2744,-1,246,2744,-1.92745
247,2743,-1,247,2743,-1.92675
248,2742,-1,248,2742,-1.92605
249,2741,-1,249,2741,-1.92535
250,2740,-1,250,2740,-1.92465
251,2739,-1,251,2739,-1.92395
252,2738,-1,252,2738,-1.92325
253,2737,-1,253,2737,-1.92255
254,2736,-1,254,2736,-1.92185
255,2735,-1,255,2735,-1.92115
256,2734,-1,256,2734,-1.92045
257,2733,-1,257,2733,-1.91975
258,2732,-1,258,2732,-1.91905
259,2731,-1,259,2731,-1.91835
260,2730,-1,260,2730,-1.91765
261,2729,-1,261,2729,-1.91695
262,2728,-1,262,2728,-1.91625
263,2727,-1,263,2727,-1.91555
264,2726,-1,264,2726,-1.91485
265,2725,-1,265,2725,-1.91415
266,2724,-1,266,2724,-1.91345
267,2723,-1,267,2723,-1.91275
268,2722,-1,268,2722,-1.91205
269,2721,-1,269,2721,-1.91135
270,2720,-1,270,2720,-1.91065
271,2719,-1,271,2719,-1.90995
272,2718,-1,272,2718,-1.90925
273,2717,-1,273,2717,-1.90855
274,2716,-1,274,2716,-1.90785
275,2715,-1,275,2715,-1.90715
276,2714,-1,276,2714,-1.90645
277,2713,-1,277,2713,-1.90575
278,2712,-1,278,2712,-1.90505
279,2711,-1,279,2711,-1.90435
280,2710,-1,280,2710,-1.90365
281,2709,-1,281,2709,-1.90295
282,2708,-1,282,2708,-1.90225
283,2707,-1,283,2707,-1.90155
284,2706,-1,284,2706,-1.90085
285,2705,-1,285,2705,-1.90015
286,2704,-1,286,2704,-1.89945
287,2703,-1,287,2703,-1.89875
288,2702,-1,288,2702,-1.89805
289,2701,-1,289,2701,-1.89735
290,2700,-1,290,2700,-1.89665
291,2699,-1,291,2699,-1.89595
292,2698,-1,292,2698,-1.89525
293,2697,-1,293,2697,-1.89455
294,2696,-1,294,2696,-1.89385
295,2695,-1,295,2695,-1.89315
296,2694,-1,296,2694,-1.89245
297,2693,-1,297,2693,-1.89175
298,2692,-1,298,2692,-1.89105
299,2691,-1,299,2691,-1.89035
300,2690,-1,300,2690,-1.88965
301,2689,-1,301,2689,-1.88895
302,2688,-1,302,2688,-1.88825
303,2687,-1,303,2687,-1.88755
304,2686,-1,304,2686,-1.88685
305,2685,-1,305,2685,-1.88615
306,2684,-1,306,2684,-1.88545
307,2683,-1,307,2683,-1.88475
308,2682,-1,308,2682,-1.88405
309,2681,-1,309,2681,-1.88335
310,2680,-1,310,2680,-1.88265
311,2679,-1,311,2679,-1.88195
312,2678,-1,312,2678,-1.88125
313,2677,-1,313,2677,-1.88055
314,2676,-1,314,2676,-1.87985
315,2675,-1,315,2675,-1.87915
316,2674,-1,316,2674,-1.87845
317,2673,-1,317,2673,-1.87775
318,2672,-1,318,2672,-1.87705
319,2671,-1,319,2671,-1.87635
320,2670,-1,320,2670,-1.87565
321,2669,-1,321,2669,-1.87495
322,2668,-1,322,2668,-1.87425
323,2667,-1,323,2667,-1.87355
324,2666,-1,324,2666,-1.87285
325,2665,-1,325,2665,-1.87215
326,2664,-1,326,2664,-1.87145
327,2663,-1,327,2663,-1.87075
328,2662,-1,328,2662,-1.87005
329,2661,-1,329,2661,-1.86935
330,2660,-1,330,2660,-1.86865
331,2659,-1,331,2659,-1.86795
332,2658,-1,332,2658,-1.86725
333,2657,-1,333,2657,-1.86655
334,2656,-1,334,2656,-1.86585
335,2655,-1,335,2655,-1.86515
336,2654,-1,336,2654,-1.86445
337,2653,-1,337,2653,-1.86375
338,2652,-1,338,2652,-1.86305
339,2651,-1,339,2651,-1.86235
340,2650,-1,340,2650,-1.86165
341,2649,-1,341,2649,-1.86095
342,2648,-1,342,2648,-1.86025
343,2647,-1,343,2647,-1.85955
344,2646,-1,344,2646,-1.85885
345,2645,-1,345,2645,-1.85815
346,2644,-1,346,2644,-1.85745
