s_t,s,s_d
341.0,8649.0,-2.5975499999985914
342.0,8648.0,-2.597249999998894
343.0,8647.0,-2.5969500000010157
344.0,8646.0,-2.5966500000013184
345.0,8645.0,-2.596349999997983
346.0,8644.0,-2.5960500000037428
347.0,8643.0,-2.5957499999967695
348.0,8642.0,-2.59545000000071
349.0,8641.0,-2.595150000001013
350.0,8640.0,-2.5948499999976775
351.0,8639.0,-2.594549999999799
352.0,8638.0,-2.594250000000102
353.0,8637.0,-2.5939500000022235
354.0,8636.0,-2.5936499999988882
355.0,8635.0,-2.593350000002829
356.0,8634.0,-2.5930499999958556
357.0,8633.0,-2.5927500000016153
358.0,8632.0,-2.592450000000099
359.0,8631.0,-2.5921499999985826
360.0,8630.0,-2.5918500000007043
361.0,8629.0,-2.591549999999188
362.0,8628.0,-2.5912500000013097
363.0,8627.0,-2.5909499999997934
364.0,8626.0,-2.590650000000096
365.0,8625.0,-2.5903499999985797
366.0,8624.0,-2.5900500000025204
367.0,8623.0,-2.589749999999185
368.0,8622.0,-2.5894499999994878
369.0,8621.0,-2.5891499999997905
370.0,8620.0,-2.588850000000093
371.0,8619.0,-2.588550000000396
372.0,8618.0,-2.5882499999988795
373.0,8617.0,-2.587950000001001
374.0,8616.0,-2.587650000001304
375.0,8615.0,-2.5873499999997875
376.0,8614.0,-2.58705000000009
377.0,8613.0,-2.586749999998574
378.0,8612.0,-2.5864499999988766
379.0,8611.0,-2.5861500000009983
380.0,8610.0,-2.585849999999482
381.0,8609.0,-2.5855499999997846
382.0,8608.0,-2.5852500000000873
383.0,8607.0,-2.584950000002209
384.0,8606.0,-2.5846499999988737
385.0,8605.0,-2.5843500000009954
386.0,8604.0,-2.58404999999766
387.0,8603.0,-2.5837500000016007
388.0,8602.0,-2.5834499999982654
389.0,8601.0,-2.583150000000387
390.0,8600.0,-2.5828500000006898
391.0,8599.0,-2.5825499999991735
392.0,8598.0,-2.582250000001295
393.0,8597.0,-2.581949999999779
394.0,8596.0,-2.5816500000000815
395.0,8595.0,-2.581350000000384
396.0,8594.0,-2.581050000000687
397.0,8593.0,-2.5807499999991705
398.0,8592.0,-2.580449999999473
399.0,8591.0,-2.580150000001595
400.0,8590.0,-2.5798499999982596
401.0,8589.0,-2.5795500000003813
402.0,8588.0,-2.579249999998865
403.0,8587.0,-2.5789500000009866
404.0,8586.0,-2.5786500000012893
405.0,8585.0,-2.578349999997954
406.0,8584.0,-2.5780500000000757
407.0,8583.0,-2.5777500000021973
408.0,8582.0,-2.577449999998862
409.0,8581.0,-2.5771500000009837
410.0,8580.0,-2.5768499999976484
411.0,8579.0,-2.57654999999977
412.0,8578.0,-2.5762500000000728
413.0,8577.0,-2.5759500000003754
414.0,8576.0,-2.575650000000678
415.0,8575.0,-2.575349999999162
416.0,8574.0,-2.5750500000012835
417.0,8573.0,-2.574749999999767
418.0,8572.0,-2.57445000000007
419.0,8571.0,-2.5741500000003725
420.0,8570.0,-2.573850000000675
421.0,8569.0,-2.573549999999159
422.0,8568.0,-2.5732499999994616
423.0,8567.0,-2.5729500000015832
424.0,8566.0,-2.572650000000067
425.0,8565.0,-2.5723499999985506
426.0,8564.0,-2.5720499999988533
427.0,8563.0,-2.571750000000975
428.0,8562.0,-2.5714499999994587
429.0,8561.0,-2.5711499999997613
430.0,8560.0,-2.570850000000064
431.0,8559.0,-2.5705500000021857
432.0,8558.0,-2.5702499999988504
433.0,8557.0,-2.569949999999153
434.0,8556.0,-2.5696499999994558
435.0,8555.0,-2.5693500000015774
436.0,8554.0,-2.569050000000061
437.0,8553.0,-2.568749999998545
